t,lat_deg,lon_deg,alt_km,detected,snr_dB,range_m,az_cmd_rad,el_cmd_rad,az_t_rad,el_t_rad,sigma_true_m2,sigma_app_m2,R00,R01,R02,R10,R11,R12,R20,R21,R22
0.0,52.009,0.185,0.1,True,156.4857194399099,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,99.99999971624872,99.99999347792114,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,52.009,0.185,0.1,True,145.5175572298499,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,8.001727876396535,8.001727377222537,1.0,0.0,0.0,0.0,1.1102230246251565e-16,-1.0,0.0,1.0,1.1102230246251565e-16
2.0,52.009,0.185,0.1,True,151.25693198960687,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,29.999999932146434,29.99999806064816,1.0,0.0,0.0,0.0,-1.0,-2.220446049250313e-16,0.0,2.220446049250313e-16,-1.0
3.0,52.009,0.185,0.1,True,145.5205401347735,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,8.007225664930942,8.007225165413974,1.0,0.0,0.0,0.0,-3.3306690738754696e-16,1.0,0.0,-1.0,-3.3306690738754696e-16
4.0,52.009,0.185,0.1,True,156.4857194399099,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,99.99999971624872,99.99999347792114,1.0,0.0,0.0,0.0,1.0,4.440892098500626e-16,0.0,-4.440892098500626e-16,1.0
5.0,52.009,0.185,0.1,True,145.5175572298499,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,8.001727876396524,8.001727377222526,1.0,0.0,0.0,0.0,5.551115123125783e-16,-1.0,0.0,1.0,5.551115123125783e-16
6.0,52.009,0.185,0.1,True,151.25693198960687,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,29.999999932146434,29.99999806064816,1.0,0.0,0.0,0.0,-1.0,-6.661338147750939e-16,0.0,6.661338147750939e-16,-1.0
7.0,52.009,0.185,0.1,True,145.52054013477348,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,8.007225664930901,8.007225165413933,1.0,0.0,0.0,0.0,-7.771561172376096e-16,1.0,0.0,-1.0,-7.771561172376096e-16
8.0,52.009,0.185,0.1,True,156.4857194399099,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,99.99999971624872,99.99999347792114,1.0,0.0,0.0,0.0,1.0,8.881784197001252e-16,0.0,-8.881784197001252e-16,1.0
9.0,52.009,0.185,0.1,True,145.51755722984987,1001.4226560625704,0.0,0.0,9.181855446867623e-17,-7.853983628707083e-05,8.001727876396515,8.001727377222517,1.0,0.0,0.0,0.0,9.992007221626409e-16,-1.0,0.0,1.0,9.992007221626409e-16
