t,lat_deg,lon_deg,alt_km,detected,snr_dB,range_m,az_cmd_rad,el_cmd_rad,az_t_rad,el_t_rad,sigma_true_m2,sigma_app_m2,R00,R01,R02,R10,R11,R12,R20,R21,R22
0.0,51.96888573981832,0.47161487712202066,1.8431148549531635,False,-300.0,20071.83466227021,2.1816615649929116,0.08726646259971647,1.7428631371794299,0.08538908511627342,11.753093917643902,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,51.9612183752679,0.4691376494645959,1.8431148549531635,False,-299.99999999926797,20072.493363582384,2.1816615649929116,0.08726646259971647,1.7863785671104915,0.08538610632097395,15.845979771085215,3.111718758471391e-24,1.0,0.0,0.0,0.0,1.1102230246251565e-16,-1.0,0.0,1.0,1.1102230246251565e-16
2.0,51.95362483374435,0.466119549642087,1.8431148549531635,False,-291.3142331965033,20072.86905677597,2.1816615649929116,0.08726646259971647,1.8298959255964367,0.08538436517591022,31.485477289017012,8.540129700485929e-19,1.0,0.0,0.0,0.0,-1.0,-2.220446049250313e-16,0.0,2.220446049250313e-16,-1.0
3.0,51.94611956998557,0.46256632277904375,1.8431148549531635,False,-206.1463358129419,20072.95190123521,2.1816615649929116,0.08726646259971647,1.8734166493449216,0.08538390564919932,9.876164315555293,9.325648148036578e-15,1.0,0.0,0.0,0.0,-3.3306690738754696e-16,1.0,0.0,-1.0,-3.3306690738754696e-16
4.0,51.938716870687685,0.45848473264475204,1.8431148549531635,False,-125.34271637738621,20072.735396961383,2.1816615649929116,0.08726646259971647,1.916942233035229,0.08538475714656676,15.436854461707178,1.2788979181687226e-10,1.0,0.0,0.0,0.0,1.0,4.440892098500626e-16,0.0,-4.440892098500626e-16,1.0
5.0,51.93143082730955,0.453882548778015,1.8431148549531635,False,-58.33778862863486,20072.216568715743,2.1816615649929116,0.08726646259971647,1.9604742098600694,0.08538693370087133,15.84605561271808,2.9022912990504035e-07,1.0,0.0,0.0,0.0,5.551115123125783e-16,-1.0,0.0,1.0,5.551115123125783e-16
6.0,51.92427530924884,0.448768531697394,1.8431148549531635,True,1.250842667671105,20071.396101965664,2.1816615649929116,0.08726646259971647,2.0040141309012403,0.08539043336732426,46.48028569612897,0.00047403549946003196,1.0,0.0,0.0,0.0,-1.0,-6.661338147750939e-16,0.0,6.661338147750939e-16,-1.0
7.0,51.91726393744089,0.44315241622506363,1.8431148549531635,True,37.457898236679526,20070.278427642963,2.1816615649929116,0.08726646259971647,2.047563543631831,0.08539523783756954,9.87641271535148,0.014118237927715112,1.0,0.0,0.0,0.0,-7.771561172376096e-16,1.0,0.0,-1.0,-7.771561172376096e-16
8.0,51.91041005843044,0.4370448929560247,1.8431148549531635,True,71.22137532992102,20068.87175348815,2.1816615649929116,0.08726646259971647,2.091123969856124,0.085401312280987,18.89775592625908,0.9523552379492168,1.0,0.0,0.0,0.0,1.0,8.881784197001252e-16,0.0,-8.881784197001252e-16,1.0
9.0,51.90372671896572,0.43045758790794875,1.8431148549531635,True,89.40533470138217,20067.188040574587,2.1816615649929116,0.08726646259971647,2.1346968834121567,0.08540860542226036,15.848042145337569,7.0746793270451915,1.0,0.0,0.0,0.0,9.992007221626409e-16,-1.0,0.0,1.0,9.992007221626409e-16
10.0,51.897226641163265,0.4234030403903928,1.8431148549531635,True,102.15132108992428,20065.242924420814,2.1816615649929116,0.08726646259971647,2.178283687969191,0.08541704985564375,60.32271091531588,59.865208423680095,1.0,0.0,0.0,0.0,-1.0,-1.1102230246251565e-15,0.0,1.1102230246251565e-15,-1.0
11.0,51.89092219829062,0.41589467913551065,1.8431148549531635,True,89.21452792181074,20063.055580969485,2.1816615649929116,0.08726646259971647,2.2218856952573143,0.08542656259846168,9.877099347955827,5.461531399071588,1.0,0.0,0.0,0.0,-1.2212453270876722e-15,1.0,0.0,-1.0,-1.2212453270876722e-15
12.0,51.88482539121309,0.40794679673569845,1.8431148549531635,True,75.5880788542669,20060.6485385689,2.1816615649929116,0.08726646259971647,2.2655041040659034,0.0854370458784281,22.032171260937467,1.698641403386424,1.0,0.0,0.0,0.0,1.0,1.3322676295501878e-15,0.0,-1.3322676295501878e-15,1.0
13.0,51.878947825549496,0.3995745224368322,1.8431148549531635,True,45.0006247297425,20058.047437943773,2.1816615649929116,0.08726646259971647,2.3091399803414396,0.08544838814883642,15.851688808871742,0.0425721406932405,1.0,0.0,0.0,0.0,1.4432899320127035e-15,-1.0,0.0,1.0,1.4432899320127035e-15
14.0,51.87330068958011,0.3907937933388889,1.8431148549531635,True,10.388948629814438,20055.2807429647,2.1816615649929116,0.08726646259971647,2.3527942387043925,0.08546046532067265,72.59564204751815,0.001693711254998695,1.0,0.0,0.0,0.0,-1.0,-1.5543122344752192e-15,0.0,1.5543122344752192e-15,-1.0
15.0,51.86789473294924,0.3816213240587705,1.8431148549531635,False,-51.57210109437205,20052.379405863307,2.1816615649929116,0.08726646259971647,2.3964676256914297,0.08547314219763737,9.878120360212245,4.983599155091984e-07,1.0,0.0,0.0,0.0,-1.6653345369377348e-15,1.0,0.0,-1.0,-1.6653345369377348e-15
16.0,51.86274024620257,0.3720745749130806,1.8431148549531635,False,-112.97815156349438,20049.376491254556,2.1816615649929116,0.08726646259971647,2.440160705006212,0.08548627409741953,24.74484445994447,6.706805370799898e-10,1.0,0.0,0.0,0.0,1.0,1.7763568394002505e-15,0.0,-1.7763568394002505e-15,1.0
17.0,51.85784704119859,0.36217171868141995,1.8431148549531635,False,-192.41764144305137,20046.306764057797,2.1816615649929116,0.08726646259971647,2.4838738450388402,0.08549970863789214,15.856393057219009,5.724901888930863e-14,1.0,0.0,0.0,0.0,1.887379141862766e-15,-1.0,0.0,1.0,1.887379141862766e-15
18.0,51.853224432431126,0.35193160601346696,1.8431148549531635,False,-274.8559218309491,20043.206247033784,2.1816615649929116,0.08726646259971647,2.5276072088836647,0.08551328766477173,82.9221989482232,9.869328134975998e-18,1.0,0.0,0.0,0.0,-1.0,-1.9984014443252818e-15,0.0,1.9984014443252818e-15,-1.0
19.0,51.84888121929872,0.3413737295456951,1.8431148549531635,False,-299.99999998881424,20040.111754196747,2.1816615649929116,0.08726646259971647,2.5713607470506235,0.085526849295143,9.879297600252519,9.573774865079105e-24,1.0,0.0,0.0,0.0,-2.1094237467877974e-15,1.0,0.0,-1.0,-2.1094237467877974e-15
20.0,51.8448256693544,0.3305181867960313,1.8431148549531635,False,-300.0,20037.0604068321,2.1816615649929116,0.08726646259971647,2.61513419302776,0.08554023004722543,26.95147724675097,5.242834964021824e-29,1.0,0.0,0.0,0.0,1.0,2.220446049250313e-15,0.0,-2.220446049250313e-15,1.0
